Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Icebox,EDward Gaming,kayo,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Icebox,EDward Gaming,jett,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Icebox,EDward Gaming,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,FunPlus Phoenix,sova,0,1,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,FunPlus Phoenix,harbor,0,1,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,FunPlus Phoenix,astra,0,1,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,FunPlus Phoenix,cypher,0,1,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,FunPlus Phoenix,yoru,0,1,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,EDward Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,EDward Gaming,kayo,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,EDward Gaming,sova,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,EDward Gaming,jett,1,0,1
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,EDward Gaming,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,fade,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,brimstone,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,gekko,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,brimstone,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,brimstone,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,skye,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,kayo,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,brimstone,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JD Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JD Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JD Gaming,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JD Gaming,brimstone,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JD Gaming,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,harbor,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,gekko,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,reyna,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,harbor,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,kayo,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,harbor,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,viper,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,omen,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,raze,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,cypher,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,fade,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,fade,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,fade,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,fade,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,fade,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,fade,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,astra,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,skye,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JD Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JD Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JD Gaming,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JD Gaming,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JD Gaming,skye,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,breach,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,breach,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,harbor,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,harbor,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,kayo,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,kayo,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JD Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JD Gaming,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JD Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JD Gaming,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JD Gaming,kayo,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,breach,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,kayo,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,fade,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,breach,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JD Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JD Gaming,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JD Gaming,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JD Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JD Gaming,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,breach,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,neon,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,fade,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,kayo,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,breach,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JD Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JD Gaming,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JD Gaming,skye,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JD Gaming,gekko,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JD Gaming,brimstone,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,breach,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,brimstone,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,gekko,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,brimstone,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,raze,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,skye,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,brimstone,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,raze,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,skye,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,gekko,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,brimstone,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JD Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JD Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JD Gaming,jett,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JD Gaming,killjoy,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JD Gaming,kayo,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,omen,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,killjoy,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,breach,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,viper,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,cypher,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,sova,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,jett,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,kayo,0,2,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,astra,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,omen,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,viper,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,cypher,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,sova,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,yoru,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,harbor,0,1,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,viper,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,cypher,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,sova,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,jett,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,yoru,1,0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,Dragon Ranger Gaming,viper,2,0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,Dragon Ranger Gaming,sova,2,0,2
