Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,Gen.G,skye,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,Gen.G,cypher,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,Gen.G,brimstone,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,gekko,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,brimstone,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,FUT Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,FUT Esports,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,FUT Esports,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,FUT Esports,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,FUT Esports,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,astra,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,Team Heretics,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,Team Heretics,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,Team Heretics,cypher,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,Team Heretics,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,Team Heretics,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,gekko,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,FUT Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,FUT Esports,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,FUT Esports,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,FUT Esports,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,FUT Esports,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,FNATIC,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,FNATIC,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,FNATIC,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,FNATIC,kayo,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,FNATIC,yoru,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,Gen.G,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,Gen.G,astra,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,Gen.G,yoru,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,G2 Esports,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,G2 Esports,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,G2 Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,G2 Esports,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,G2 Esports,sage,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Team Heretics,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Team Heretics,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Team Heretics,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Team Heretics,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Team Heretics,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,killjoy,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,sova,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Gen.G,kayo,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,Gen.G,gekko,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,G2 Esports,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,G2 Esports,sova,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,G2 Esports,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,G2 Esports,kayo,1,0,1
